Canal;Título Original;Busca;Status;Confiança;Resultado API;Fonte
"HBO HD";"Game of Thrones S01E01";"Game of Thrones";✅ OK;98%;"Game of Thrones";tmdb
"HBO HD";"Game of Thrones S01E02";"Game of Thrones";✅ OK;98%;"Game of Thrones";tmdb
"HBO HD";"Game of Thrones S01E03";"Game of Thrones";✅ OK;98%;"Game of Thrones";tmdb
